cultivo,anio,campania,provincia,departamento,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_tn_ha,tasa_cosecha
maiz,2017,2017/2018,Catamarca,Santa Rosa,12800,12200,82960,6.8,0.953
maiz,2017,2017/2018,Chaco,25 de Mayo,660,600,2280,3.8,0.909
maiz,2017,2017/2018,Chaco,Chacabuco,23020,20405,118349,5.8,0.886
maiz,2017,2017/2018,Chaco,Almirante Brown,89760,86360,423164,4.9,0.962
maiz,2017,2017/2018,Chaco,9 de Julio,34610,30701,178066,5.8,0.887
maiz,2017,2017/2018,Chaco,Mayor Luis J. Fontana,11450,10170,56952,5.6,0.888
maiz,2017,2017/2018,Córdoba,Unión,245620,230120,1933008,8.4,0.937
maiz,2017,2017/2018,Chaco,Maipú,15670,14370,68976,4.8,0.917
maiz,2017,2017/2018,Córdoba,General Roca,298000,268000,1742000,6.5,0.899
maiz,2017,2017/2018,Chaco,Libertador General San Martín,2750,2550,9435,3.7,0.927
maiz,2017,2017/2018,Chaco,General Güemes,40690,39940,179730,4.5,0.982
maiz,2017,2017/2018,Chaco,Independencia,24270,22330,93786,4.2,0.92
maiz,2017,2017/2018,Chaco,Quitilipi,1590,1470,7056,4.8,0.925
maiz,2017,2017/2018,Córdoba,Colón,34000,31115,152464,4.9,0.915
maiz,2017,2017/2018,Chaco,Presidencia de la Plaza,130,100,320,3.2,0.769
maiz,2017,2017/2018,Chaco,O'Higgins,5960,5100,26520,5.2,0.856
maiz,2017,2017/2018,Córdoba,Capital,1200,1200,7200,6.0,1.0
maiz,2017,2017/2018,Chaco,San Lorenzo,2220,1968,9053,4.6,0.886
maiz,2017,2017/2018,Chaco,San Fernando,2950,2640,12408,4.7,0.895
maiz,2017,2017/2018,Córdoba,Calamuchita,25008,22738,125059,5.5,0.909
maiz,2017,2017/2018,Chaco,Sargento Cabral,1060,950,4750,5.0,0.896
maiz,2017,2017/2018,Córdoba,Tulumba,55000,52130,302354,5.8,0.948
maiz,2017,2017/2018,Córdoba,Río Cuarto,462607,352607,1586732,4.5,0.762
maiz,2017,2017/2018,Córdoba,General San Martín,119000,45160,293540,6.5,0.379
maiz,2017,2017/2018,Córdoba,Ischilín,8000,6585,39510,6.0,0.823
maiz,2017,2017/2018,Córdoba,Presidente Roque Sáenz Peña,186000,163000,1075800,6.6,0.876
maiz,2017,2017/2018,Córdoba,Pocho,4200,3630,19965,5.5,0.864
maiz,2017,2017/2018,Córdoba,Juárez Celman,213565,161565,807825,5.0,0.757
maiz,2017,2017/2018,Córdoba,Marcos Juárez,183302,172712,1537137,8.9,0.942
maiz,2017,2017/2018,Córdoba,Río Primero,168970,98410,452686,4.6,0.582
maiz,2017,2017/2018,Córdoba,Totoral,99000,94840,521620,5.5,0.958
maiz,2017,2017/2018,Córdoba,San Alberto,1950,1950,11700,6.0,1.0
maiz,2017,2017/2018,Córdoba,Río Segundo,130000,66380,464660,7.0,0.511
maiz,2017,2017/2018,Córdoba,Río Seco,50300,44620,303416,6.8,0.887
maiz,2017,2017/2018,Córdoba,San Javier,3000,3000,27000,9.0,1.0
maiz,2017,2017/2018,Córdoba,Tercero Arriba,170000,112060,672360,6.0,0.659
maiz,2017,2017/2018,Córdoba,Santa María,56000,56000,392000,7.0,1.0
maiz,2017,2017/2018,Córdoba,San Justo,289730,152700,809310,5.3,0.527
maiz,2017,2017/2018,Jujuy,San Antonio,660,660,2640,4.0,1.0
maiz,2017,2017/2018,Entre Ríos,San Salvador,3000,1860,5580,3.0,0.62
maiz,2017,2017/2018,Entre Ríos,Paraná,59500,47000,258500,5.5,0.79
maiz,2017,2017/2018,Entre Ríos,Tala,15500,13230,59535,4.5,0.854
maiz,2017,2017/2018,Entre Ríos,Uruguay,32000,28590,114360,4.0,0.893
maiz,2017,2017/2018,Entre Ríos,Nogoyá,42500,38520,154080,4.0,0.906
maiz,2017,2017/2018,Tucumán,Burruyacú,42200,41050,266825,6.5,0.973
maiz,2017,2017/2018,Jujuy,Palpalá,120,120,480,4.0,1.0
maiz,2017,2017/2018,Entre Ríos,Gualeguay,45000,42390,233145,5.5,0.942
maiz,2017,2017/2018,Entre Ríos,La Paz,19100,12280,61400,5.0,0.643
maiz,2017,2017/2018,Jujuy,Ledesma,70,70,280,4.0,1.0
maiz,2017,2017/2018,Jujuy,Dr. Manuel Belgrano,70,70,280,4.0,1.0
maiz,2017,2017/2018,Entre Ríos,Victoria,48000,43460,195570,4.5,0.905
maiz,2017,2017/2018,Entre Ríos,Gualeguaychú,63000,60160,300800,5.0,0.955
maiz,2017,2017/2018,Formosa,sin definir,70000,69430,298549,4.3,0.992
maiz,2017,2017/2018,Entre Ríos,Villaguay,35000,33300,133200,4.0,0.951
maiz,2017,2017/2018,Misiones,San Pedro,2700,2700,8640,3.2,1.0
maiz,2017,2017/2018,La Pampa,Toay,5100,2600,6500,2.5,0.51
maiz,2017,2017/2018,La Pampa,Capital,20600,11280,39480,3.5,0.548
maiz,2017,2017/2018,La Pampa,Atreucó,35100,19200,67200,3.5,0.547
maiz,2017,2017/2018,Jujuy,Santa Bárbara,1550,1320,5280,4.0,0.852
maiz,2017,2017/2018,Jujuy,San Pedro,2050,1710,6840,4.0,0.834
maiz,2017,2017/2018,La Pampa,Guatraché,16800,9190,27570,3.0,0.547
maiz,2017,2017/2018,La Pampa,Conhelo,42900,25150,163475,6.5,0.586
maiz,2017,2017/2018,La Pampa,Catriló,42500,30460,152300,5.0,0.717
maiz,2017,2017/2018,La Pampa,Chapaleufú,43300,36590,285402,7.8,0.845
maiz,2017,2017/2018,La Pampa,Realicó,36900,9220,64540,7.0,0.25
maiz,2017,2017/2018,La Pampa,Hucal,11400,6740,13480,2.0,0.591
maiz,2017,2017/2018,La Pampa,Rancul,51800,17430,122010,7.0,0.336
maiz,2017,2017/2018,La Pampa,Quemú Quemú,55900,25080,188100,7.5,0.449
maiz,2017,2017/2018,La Pampa,Maracó,48000,19550,146625,7.5,0.407
maiz,2017,2017/2018,Misiones,San Javier,650,650,1950,3.0,1.0
maiz,2017,2017/2018,Misiones,Capital,300,100,310,3.1,0.333
maiz,2017,2017/2018,La Pampa,Trenel,39900,6760,43940,6.5,0.169
maiz,2017,2017/2018,Misiones,San Ignacio,100,100,290,2.9,1.0
maiz,2017,2017/2018,Misiones,Candelaria,10,10,27,2.7,1.0
maiz,2017,2017/2018,Misiones,25 de Mayo,4900,4780,15774,3.3,0.976
maiz,2017,2017/2018,La Pampa,Utracán,8200,5470,10940,2.0,0.667
maiz,2017,2017/2018,Misiones,Cainguás,2700,2700,8100,3.0,1.0
maiz,2017,2017/2018,Misiones,Apóstoles,600,100,290,2.9,0.167
maiz,2017,2017/2018,Misiones,Guaraní,9000,8800,29040,3.3,0.978
maiz,2017,2017/2018,Misiones,General Manuel Belgrano,4700,4700,15980,3.4,1.0
maiz,2017,2017/2018,Misiones,Concepción,50,30,93,3.1,0.6
maiz,2017,2017/2018,Misiones,Eldorado,100,50,150,3.0,0.5
maiz,2017,2017/2018,Misiones,Oberá,800,800,2400,3.0,1.0
maiz,2017,2017/2018,Misiones,Iguazú,400,400,1240,3.1,1.0
maiz,2017,2017/2018,Misiones,Montecarlo,50,20,62,3.1,0.4
maiz,2017,2017/2018,Misiones,Libertador General San Martín,300,200,640,3.2,0.667
maiz,2017,2017/2018,Misiones,Leandro N. Alem,700,700,2030,2.9,1.0
maiz,2017,2017/2018,Salta,Rosario de la Frontera,41337,38067,224595,5.9,0.921
maiz,2017,2017/2018,Santiago del Estero,Silípica,5000,3640,27300,7.5,0.728
maiz,2017,2017/2018,Santa Fe,General Obligado,71500,42400,106000,2.5,0.593
maiz,2017,2017/2018,Salta,Anta,136700,124700,748200,6.0,0.912
maiz,2017,2017/2018,Salta,Cachi,70,70,350,5.0,1.0
maiz,2017,2017/2018,Salta,Capital,1150,1150,7130,6.2,1.0
maiz,2017,2017/2018,Salta,Orán,4170,3810,22479,5.9,0.914
maiz,2017,2017/2018,Salta,General Güemes,4250,4250,25500,6.0,1.0
maiz,2017,2017/2018,Salta,Chicoana,790,790,4740,6.0,1.0
maiz,2017,2017/2018,Salta,Cerrillos,1450,1450,9135,6.3,1.0
maiz,2017,2017/2018,Salta,Metán,35340,32610,195660,6.0,0.923
maiz,2017,2017/2018,Salta,La Caldera,100,100,560,5.6,1.0
maiz,2017,2017/2018,Salta,General José de San Martín,44543,41813,250878,6.0,0.939
maiz,2017,2017/2018,Salta,La Viña,100,100,580,5.8,1.0
maiz,2017,2017/2018,Salta,La Candelaria,2050,2050,11890,5.8,1.0
maiz,2017,2017/2018,Santa Fe,General López,214813,195733,1702877,8.7,0.911
maiz,2017,2017/2018,San Luis,Juan Martín de Pueyrredón,24000,21730,102131,4.7,0.905
maiz,2017,2017/2018,Salta,Rosario de Lerma,1150,1150,6900,6.0,1.0
maiz,2017,2017/2018,San Luis,Gobernador Dupuy,36000,30320,115216,3.8,0.842
maiz,2017,2017/2018,San Luis,Chacabuco,28000,23460,91494,3.9,0.838
maiz,2017,2017/2018,San Luis,Ayacucho,4500,4500,54000,12.0,1.0
maiz,2017,2017/2018,San Luis,General Pedernera,215000,195000,741000,3.8,0.907
maiz,2017,2017/2018,San Luis,Coronel Pringles,69000,57000,273600,4.8,0.826
maiz,2017,2017/2018,Santa Fe,9 de Julio,107900,50860,178010,3.5,0.471
maiz,2017,2017/2018,Santa Fe,Garay,1000,490,2450,5.0,0.49
maiz,2017,2017/2018,San Luis,Libertador General San Martín,800,570,1995,3.5,0.712
maiz,2017,2017/2018,San Luis,Junín,750,580,3190,5.5,0.773
maiz,2017,2017/2018,Santa Fe,Belgrano,44650,41240,350540,8.5,0.924
maiz,2017,2017/2018,Santa Fe,Villa Constitución,28400,28400,210160,7.4,1.0
maiz,2017,2017/2018,Santa Fe,Castellanos,116170,48800,253760,5.2,0.42
maiz,2017,2017/2018,Santa Fe,Caseros,48200,48200,356680,7.4,1.0
maiz,2017,2017/2018,Santiago del Estero,Banda,4000,2890,20230,7.0,0.722
maiz,2017,2017/2018,Santa Fe,San Cristóbal,28000,6190,22284,3.6,0.221
maiz,2017,2017/2018,Santiago del Estero,Sarmiento,2700,2160,11880,5.5,0.8
maiz,2017,2017/2018,Santa Fe,Rosario,17500,17500,126000,7.2,1.0
maiz,2017,2017/2018,Santa Fe,Las Colonias,110530,52330,266883,5.1,0.473
maiz,2017,2017/2018,Santa Fe,Iriondo,51400,51400,411200,8.0,1.0
maiz,2017,2017/2018,Santa Fe,La Capital,9000,3700,18500,5.0,0.411
maiz,2017,2017/2018,Santa Fe,San Lorenzo,22200,22200,164280,7.4,1.0
maiz,2017,2017/2018,Santiago del Estero,Avellaneda,2500,1930,9650,5.0,0.772
maiz,2017,2017/2018,Santa Fe,San Justo,15000,7500,35250,4.7,0.5
maiz,2017,2017/2018,Santa Fe,San Javier,12000,2360,7080,3.0,0.197
maiz,2017,2017/2018,Santa Fe,San Jerónimo,49800,49800,348600,7.0,1.0
maiz,2017,2017/2018,Santa Fe,San Martín,101350,78630,589725,7.5,0.776
maiz,2017,2017/2018,Santiago del Estero,Alberdi,76910,73290,439740,6.0,0.953
maiz,2017,2017/2018,Santiago del Estero,Aguirre,21000,15380,76900,5.0,0.732
maiz,2017,2017/2018,Santa Fe,Vera,25000,8400,29400,3.5,0.336
maiz,2017,2017/2018,Santiago del Estero,Belgrano,38000,31420,157100,5.0,0.827
maiz,2017,2017/2018,Santiago del Estero,San Martín,3000,2160,15120,7.0,0.72
maiz,2017,2017/2018,Santiago del Estero,Guasayán,8000,6890,41340,6.0,0.861
maiz,2017,2017/2018,Santiago del Estero,Choya,6000,4300,23650,5.5,0.717
maiz,2017,2017/2018,Santiago del Estero,Capital,4000,2890,21675,7.5,0.722
maiz,2017,2017/2018,Santiago del Estero,General Taboada,93000,79210,435655,5.5,0.852
maiz,2017,2017/2018,Santiago del Estero,Figueroa,3000,2160,11880,5.5,0.72
maiz,2017,2017/2018,Santiago del Estero,Copo,6500,5490,30195,5.5,0.845
maiz,2017,2017/2018,Santiago del Estero,Jiménez,70000,65000,455000,7.0,0.929
maiz,2017,2017/2018,Santiago del Estero,Robles,4000,2890,21675,7.5,0.722
maiz,2017,2017/2018,Santiago del Estero,Mitre,15000,10800,43200,4.0,0.72
maiz,2017,2017/2018,Santiago del Estero,Loreto,3000,2170,14105,6.5,0.723
maiz,2017,2017/2018,Santiago del Estero,Juan F. Ibarra,62000,54680,300740,5.5,0.882
maiz,2017,2017/2018,Santiago del Estero,Moreno,220580,189260,1040930,5.5,0.858
maiz,2017,2017/2018,Santiago del Estero,Rivadavia,13700,4780,28680,6.0,0.349
maiz,2017,2017/2018,Santiago del Estero,Río Hondo,10000,7160,50120,7.0,0.716
maiz,2017,2017/2018,Santiago del Estero,Pellegrini,60000,55000,385000,7.0,0.917
maiz,2017,2017/2018,Tucumán,Leales,11300,10310,67015,6.5,0.912
maiz,2017,2017/2018,Tucumán,La Cocha,4900,4130,26845,6.5,0.843
maiz,2017,2017/2018,Tucumán,Cruz Alta,9600,9220,64540,7.0,0.96
maiz,2017,2017/2018,Tucumán,Graneros,10400,9650,62725,6.5,0.928
maiz,2017,2017/2018,Tucumán,Simoca,600,490,3185,6.5,0.817
maiz,2017,2017/2018,Tucumán,Trancas,750,240,1800,7.5,0.32
maiz,2017,2017/2018,Tucumán,Tafí del Valle,100,100,0,0.0,1.0
maiz,2018,2018/2019,Buenos Aires,Marcos Paz,900,180,1530,8.5,0.2
maiz,2018,2018/2019,San Luis,Coronel Pringles,65000,57000,319200,5.6,0.877
maiz,2018,2018/2019,Buenos Aires,Mercedes,7300,6497,58473,9.0,0.89
maiz,2018,2018/2019,Buenos Aires,Lobos,14900,8978,80802,9.0,0.603
maiz,2018,2018/2019,Córdoba,Calamuchita,32500,30460,207128,6.8,0.937
maiz,2018,2018/2019,Buenos Aires,Las Flores,21000,15851,126808,8.0,0.755
maiz,2018,2018/2019,Buenos Aires,Lobería,42300,33860,287810,8.5,0.8
maiz,2018,2018/2019,Buenos Aires,Adolfo Alsina,45000,23500,169200,7.2,0.522
maiz,2018,2018/2019,Buenos Aires,9 de Julio,70600,62829,565457,9.0,0.89
maiz,2018,2018/2019,Buenos Aires,25 de Mayo,50300,32226,273921,8.5,0.641
maiz,2018,2018/2019,Buenos Aires,Castelli,12900,3320,23240,7.0,0.257
maiz,2018,2018/2019,Buenos Aires,Balcarce,48300,34800,295800,8.5,0.72
maiz,2018,2018/2019,Buenos Aires,Adolfo Gonzales Chaves,10000,8000,52800,6.6,0.8
maiz,2018,2018/2019,Buenos Aires,Carmen de Areco,16000,14000,135800,9.7,0.875
maiz,2018,2018/2019,Buenos Aires,Arrecifes,17800,16900,185900,11.0,0.949
maiz,2018,2018/2019,Buenos Aires,Alberti,26000,23093,207834,9.0,0.888
maiz,2018,2018/2019,Buenos Aires,Azul,50900,38200,286500,7.5,0.75
maiz,2018,2018/2019,Buenos Aires,Ayacucho,27000,18535,129745,7.0,0.686
maiz,2018,2018/2019,Buenos Aires,Carlos Tejedor,37000,29685,273102,9.2,0.802
maiz,2018,2018/2019,Buenos Aires,Baradero,20000,19250,202125,10.5,0.962
maiz,2018,2018/2019,Buenos Aires,Brandsen,2500,500,4250,8.5,0.2
maiz,2018,2018/2019,Buenos Aires,Bragado,36000,32031,288281,9.0,0.89
maiz,2018,2018/2019,Buenos Aires,Benito Juárez,33000,23100,138600,6.0,0.7
maiz,2018,2018/2019,Buenos Aires,Bolívar,43000,35000,308000,8.8,0.814
maiz,2018,2018/2019,Buenos Aires,Campana,3000,3000,33000,11.0,1.0
maiz,2018,2018/2019,Buenos Aires,Carlos Casares,39000,28120,258704,9.2,0.721
maiz,2018,2018/2019,Buenos Aires,Capitán Sarmiento,7300,6950,76450,11.0,0.952
maiz,2018,2018/2019,Buenos Aires,Cañuelas,5000,3560,30260,8.5,0.712
maiz,2018,2018/2019,Chaco,Sargento Cabral,1130,880,4840,5.5,0.779
maiz,2018,2018/2019,Buenos Aires,Laprida,11100,8600,55040,6.4,0.775
maiz,2018,2018/2019,Buenos Aires,Coronel de Marina Leonardo Rosales,3500,340,1360,4.0,0.097
maiz,2018,2018/2019,Buenos Aires,Colón,14500,13750,155375,11.3,0.948
maiz,2018,2018/2019,Buenos Aires,General Arenales,27800,26300,263000,10.0,0.946
maiz,2018,2018/2019,Buenos Aires,Chivilcoy,30800,27410,246688,9.0,0.89
maiz,2018,2018/2019,Buenos Aires,Chacabuco,36500,34000,357000,10.5,0.932
maiz,2018,2018/2019,Buenos Aires,Chascomús,12500,7000,59500,8.5,0.56
maiz,2018,2018/2019,Buenos Aires,Daireaux,40000,32000,281600,8.8,0.8
maiz,2018,2018/2019,Buenos Aires,General Alvear,10000,6000,46800,7.8,0.6
maiz,2018,2018/2019,Buenos Aires,Coronel Suárez,31000,15500,93000,6.0,0.5
maiz,2018,2018/2019,Buenos Aires,Coronel Dorrego,48000,40000,244000,6.1,0.833
maiz,2018,2018/2019,Buenos Aires,Coronel Pringles,19000,15000,99000,6.6,0.789
maiz,2018,2018/2019,Buenos Aires,Dolores,3500,530,3339,6.3,0.151
maiz,2018,2018/2019,Buenos Aires,General Alvarado,17700,17700,153990,8.7,1.0
maiz,2018,2018/2019,Buenos Aires,Florentino Ameghino,29000,24807,253031,10.2,0.855
maiz,2018,2018/2019,Buenos Aires,Exaltación de la Cruz,3000,3000,32400,10.8,1.0
maiz,2018,2018/2019,Buenos Aires,La Plata,500,210,1785,8.5,0.42
maiz,2018,2018/2019,Buenos Aires,General Paz,1800,1080,9180,8.5,0.6
maiz,2018,2018/2019,Buenos Aires,General Belgrano,13400,9753,78024,8.0,0.728
maiz,2018,2018/2019,Buenos Aires,General Lavalle,1500,906,6342,7.0,0.604
maiz,2018,2018/2019,Buenos Aires,General Juan Madariaga,23000,19436,161319,8.3,0.845
maiz,2018,2018/2019,Buenos Aires,General Guido,6300,5364,36475,6.8,0.851
maiz,2018,2018/2019,Buenos Aires,General Las Heras,1000,280,2380,8.5,0.28
maiz,2018,2018/2019,Buenos Aires,General La Madrid,25000,14600,80300,5.5,0.584
maiz,2018,2018/2019,Buenos Aires,General Rodríguez,600,170,1445,8.5,0.283
maiz,2018,2018/2019,Buenos Aires,Junín,36800,35000,357000,10.2,0.951
maiz,2018,2018/2019,Buenos Aires,General Pueyrredón,11000,11000,99000,9.0,1.0
maiz,2018,2018/2019,Buenos Aires,General Pinto,37000,31330,318000,10.15,0.847
maiz,2018,2018/2019,Buenos Aires,General Viamonte,34000,29902,302010,10.1,0.879
maiz,2018,2018/2019,Buenos Aires,Hipólito Yrigoyen,29000,25000,220000,8.8,0.862
maiz,2018,2018/2019,Buenos Aires,Guaminí,41000,23000,172500,7.5,0.561
maiz,2018,2018/2019,Buenos Aires,General Villegas,110000,100600,1036180,10.3,0.915
maiz,2018,2018/2019,Chaco,San Lorenzo,980,705,3173,4.501,0.719
maiz,2018,2018/2019,Buenos Aires,San Nicolás,4130,3580,38664,10.8,0.867
maiz,2018,2018/2019,Buenos Aires,Lincoln,81000,71495,732824,10.25,0.883
maiz,2018,2018/2019,Buenos Aires,Leandro N. Alem,26500,22880,237952,10.4,0.863
maiz,2018,2018/2019,Buenos Aires,Pellegrini,31000,17000,136000,8.0,0.548
maiz,2018,2018/2019,Buenos Aires,Luján,2600,350,2975,8.5,0.135
maiz,2018,2018/2019,Buenos Aires,Pehuajó,72000,63290,582268,9.2,0.879
maiz,2018,2018/2019,Buenos Aires,Mar Chiquita,22000,18436,143800,7.8,0.838
maiz,2018,2018/2019,Buenos Aires,Maipú,8000,6690,50844,7.6,0.836
maiz,2018,2018/2019,Buenos Aires,Magdalena,3900,1600,13600,8.5,0.41
maiz,2018,2018/2019,Buenos Aires,Patagones,6600,4640,34800,7.5,0.703
maiz,2018,2018/2019,Buenos Aires,Navarro,11400,5736,48756,8.5,0.503
maiz,2018,2018/2019,Buenos Aires,Monte,17000,12366,98928,8.0,0.727
maiz,2018,2018/2019,Buenos Aires,Olavarría,30000,22000,171600,7.8,0.733
maiz,2018,2018/2019,Buenos Aires,Necochea,32200,27200,184960,6.8,0.845
maiz,2018,2018/2019,Buenos Aires,Rivadavia,84000,74866,688471,9.196,0.891
maiz,2018,2018/2019,Buenos Aires,Pila,10000,5130,36936,7.2,0.513
maiz,2018,2018/2019,Buenos Aires,Pergamino,36200,34500,407100,11.8,0.953
maiz,2018,2018/2019,Buenos Aires,San Cayetano,23600,19400,128040,6.6,0.822
maiz,2018,2018/2019,Buenos Aires,Rauch,13500,11050,75140,6.8,0.819
maiz,2018,2018/2019,Buenos Aires,Puán,26000,19800,99000,5.0,0.762
maiz,2018,2018/2019,Buenos Aires,Pilar,500,290,2465,8.5,0.58
maiz,2018,2018/2019,Buenos Aires,Ramallo,10800,10100,106050,10.5,0.935
maiz,2018,2018/2019,Buenos Aires,Punta Indio,900,180,1530,8.5,0.2
maiz,2018,2018/2019,Buenos Aires,Saavedra,18000,13800,64860,4.7,0.767
maiz,2018,2018/2019,Buenos Aires,San Antonio de Areco,16300,15200,161120,10.6,0.933
maiz,2018,2018/2019,Buenos Aires,Roque Pérez,14800,9786,78288,8.0,0.661
maiz,2018,2018/2019,Buenos Aires,Rojas,35500,34000,357000,10.5,0.958
maiz,2018,2018/2019,Buenos Aires,Saladillo,29300,19761,167969,8.5,0.674
maiz,2018,2018/2019,Buenos Aires,San Andrés de Giles,13800,12300,110700,9.0,0.891
maiz,2018,2018/2019,Buenos Aires,Salto,19100,18000,210600,11.7,0.942
maiz,2018,2018/2019,Buenos Aires,Salliqueló,13000,6500,52000,8.0,0.5
maiz,2018,2018/2019,Buenos Aires,Tapalqué,2500,2500,19500,7.8,1.0
maiz,2018,2018/2019,Buenos Aires,Tandil,45900,34400,282080,8.2,0.749
maiz,2018,2018/2019,Chaco,12 de Octubre,27100,21720,123804,5.7,0.801
maiz,2018,2018/2019,Buenos Aires,Suipacha,12800,11480,103320,9.0,0.897
maiz,2018,2018/2019,Buenos Aires,San Pedro,8210,7610,79905,10.5,0.927
maiz,2018,2018/2019,Buenos Aires,San Vicente,800,450,3825,8.5,0.562
maiz,2018,2018/2019,Buenos Aires,Tres Arroyos,69800,56800,374880,6.6,0.814
maiz,2018,2018/2019,Catamarca,Santa Rosa,19500,18500,138750,7.5,0.949
maiz,2018,2018/2019,Buenos Aires,Trenque Lauquen,108000,77752,684218,8.8,0.72
maiz,2018,2018/2019,Buenos Aires,Tornquist,20000,16800,78960,4.7,0.84
maiz,2018,2018/2019,Buenos Aires,Tres Lomas,25000,15000,120000,8.0,0.6
maiz,2018,2018/2019,Catamarca,El Alto,560,560,3920,7.0,1.0
maiz,2018,2018/2019,Buenos Aires,Zárate,2500,2500,27000,10.8,1.0
maiz,2018,2018/2019,Buenos Aires,Villarino,9000,6560,50512,7.7,0.729
maiz,2018,2018/2019,Chaco,Quitilipi,1830,1480,6808,4.6,0.809
maiz,2018,2018/2019,Chaco,San Fernando,1563,1137,5230,4.6,0.727
maiz,2018,2018/2019,Chaco,Comandante Fernández,6300,4600,23000,5.0,0.73
maiz,2018,2018/2019,Chaco,Chacabuco,19200,15653,87657,5.6,0.815
maiz,2018,2018/2019,Chaco,25 de Mayo,755,635,2096,3.301,0.841
maiz,2018,2018/2019,Chaco,2 de Abril,20300,16400,88560,5.4,0.808
maiz,2018,2018/2019,Chaco,Almirante Brown,85800,70900,389950,5.5,0.826
maiz,2018,2018/2019,Chaco,9 de Julio,31000,25345,131794,5.2,0.818
maiz,2018,2018/2019,Chaco,Independencia,30500,24800,111600,4.5,0.813
maiz,2018,2018/2019,Chaco,Presidencia de la Plaza,189,89,312,3.506,0.471
maiz,2018,2018/2019,Chaco,General Güemes,13500,10300,51500,5.0,0.763
maiz,2018,2018/2019,Chaco,Fray Justo Santa María de Oro,2445,1455,7275,5.0,0.595
maiz,2018,2018/2019,Chaco,General Belgrano,11900,9690,54264,5.6,0.814
maiz,2018,2018/2019,Chaco,Libertador General San Martín,3300,2600,9880,3.8,0.788
maiz,2018,2018/2019,Chaco,O'Higgins,2630,1769,8845,5.0,0.673
maiz,2018,2018/2019,Chaco,Mayor Luis J. Fontana,6245,4274,20515,4.8,0.684
maiz,2018,2018/2019,Chaco,Maipú,15200,11900,57120,4.8,0.783
maiz,2018,2018/2019,Salta,Rosario de Lerma,1150,1150,8050,7.0,1.0
maiz,2018,2018/2019,Córdoba,Juárez Celman,203000,173420,1231282,7.1,0.854
maiz,2018,2018/2019,Jujuy,Dr. Manuel Belgrano,70,70,350,5.0,1.0
maiz,2018,2018/2019,Santa Fe,La Capital,8900,4900,37730,7.7,0.551
maiz,2018,2018/2019,Salta,Orán,5717,5267,35816,6.8,0.921
maiz,2018,2018/2019,Córdoba,Ischilín,5780,5721,24028,4.2,0.99
maiz,2018,2018/2019,Corrientes,Concepción,500,470,2961,6.3,0.94
maiz,2018,2018/2019,Córdoba,Capital,1200,1200,10800,9.0,1.0
maiz,2018,2018/2019,Córdoba,General San Martín,135000,75000,675000,9.0,0.556
maiz,2018,2018/2019,Córdoba,General Roca,295000,272800,2100560,7.7,0.925
maiz,2018,2018/2019,Córdoba,Colón,47200,46571,414482,8.9,0.987
maiz,2018,2018/2019,Salta,Metán,35422,32082,224574,7.0,0.906
maiz,2018,2018/2019,Córdoba,Marcos Juárez,180000,171329,1764689,10.3,0.952
maiz,2018,2018/2019,Córdoba,San Alberto,1950,1950,17550,9.0,1.0
maiz,2018,2018/2019,Corrientes,Capital,700,640,4032,6.3,0.914
maiz,2018,2018/2019,Córdoba,Río Segundo,125000,105000,945000,9.0,0.84
maiz,2018,2018/2019,Córdoba,Presidente Roque Sáenz Peña,125000,108200,854780,7.9,0.866
maiz,2018,2018/2019,Córdoba,Pocho,4000,4000,26000,6.5,1.0
maiz,2018,2018/2019,Córdoba,Río Seco,67900,67205,524199,7.8,0.99
maiz,2018,2018/2019,Córdoba,Río Cuarto,558000,499860,3399048,6.8,0.896
maiz,2018,2018/2019,Córdoba,Río Primero,183000,120930,713487,5.9,0.661
maiz,2018,2018/2019,Córdoba,San Javier,3000,3000,27000,9.0,1.0
maiz,2018,2018/2019,Corrientes,Berón de Astrada,400,340,2142,6.3,0.85
maiz,2018,2018/2019,Córdoba,Tercero Arriba,125500,107500,967500,9.0,0.857
maiz,2018,2018/2019,Córdoba,Santa María,61800,61800,587100,9.5,1.0
maiz,2018,2018/2019,Córdoba,San Justo,303500,180729,1518124,8.4,0.595
maiz,2018,2018/2019,Córdoba,Totoral,85300,83815,704046,8.4,0.983
maiz,2018,2018/2019,Corrientes,Bella Vista,600,550,3465,6.3,0.917
maiz,2018,2018/2019,Córdoba,Unión,218000,181252,1740019,9.6,0.831
maiz,2018,2018/2019,Córdoba,Tulumba,66300,65621,544654,8.3,0.99
maiz,2018,2018/2019,Salta,Rosario de la Frontera,47540,43840,306880,7.0,0.922
maiz,2018,2018/2019,Corrientes,Ituzaingó,700,650,4095,6.3,0.929
maiz,2018,2018/2019,Corrientes,Goya,500,460,2898,6.3,0.92
maiz,2018,2018/2019,Corrientes,Sauce,345,298,1877,6.299,0.864
maiz,2018,2018/2019,Corrientes,Esquina,500,445,2804,6.301,0.89
maiz,2018,2018/2019,Corrientes,Curuzu Cuatia,800,740,4662,6.3,0.925
maiz,2018,2018/2019,Corrientes,Empedrado,300,270,1701,6.3,0.9
maiz,2018,2018/2019,Corrientes,Paso de los Libres,400,320,2016,6.3,0.8
maiz,2018,2018/2019,Corrientes,Santo Tomé,345,288,1814,6.299,0.835
maiz,2018,2018/2019,Corrientes,Mercedes,700,640,4032,6.3,0.914
maiz,2018,2018/2019,Corrientes,Lavalle,900,860,5418,6.3,0.956
