cultivo,anio,campania,provincia,departamento,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_tn_ha,tasa_cosecha
girasol,2016,2016/2017,Santa Fe,Las Colonias,23000,20800,31200,1.5,0.904
girasol,2016,2016/2017,Santa Fe,San Cristóbal,26000,26000,49400,1.9,1.0
girasol,2016,2016/2017,Santa Fe,San Justo,16000,15000,27000,1.8,0.938
girasol,2016,2016/2017,Santiago del Estero,Aguirre,2000,2000,3000,1.5,1.0
girasol,2016,2016/2017,Santa Fe,Vera,14000,14000,30800,2.2,1.0
girasol,2016,2016/2017,Santa Fe,San Martín,6000,5000,7500,1.5,0.833
girasol,2016,2016/2017,Santiago del Estero,General Taboada,16000,16000,30400,1.9,1.0
girasol,2016,2016/2017,Santiago del Estero,Copo,300,300,480,1.6,1.0
girasol,2016,2016/2017,Santiago del Estero,Rivadavia,2000,2000,2600,1.3,1.0
girasol,2016,2016/2017,Santiago del Estero,Moreno,8000,8000,11200,1.4,1.0
girasol,2017,2017/2018,Córdoba,Totoral,1134,1134,2268,2.0,1.0
girasol,2017,2017/2018,Buenos Aires,Tres Arroyos,50000,47500,95000,2.0,0.95
girasol,2017,2017/2018,Buenos Aires,Trenque Lauquen,28600,28600,68640,2.4,1.0
girasol,2017,2017/2018,Buenos Aires,Bolívar,6000,6000,12000,2.0,1.0
girasol,2017,2017/2018,Buenos Aires,Benito Juárez,16500,16500,28050,1.7,1.0
girasol,2017,2017/2018,Buenos Aires,Baradero,600,600,1800,3.0,1.0
girasol,2017,2017/2018,Buenos Aires,9 de Julio,3500,3500,9800,2.8,1.0
girasol,2017,2017/2018,Buenos Aires,25 de Mayo,5656,5486,9049,1.649,0.97
girasol,2017,2017/2018,Buenos Aires,Alberti,1000,1000,2000,2.0,1.0
girasol,2017,2017/2018,Buenos Aires,Balcarce,51184,51184,133078,2.6,1.0
girasol,2017,2017/2018,Buenos Aires,Adolfo Gonzales Chaves,4000,3500,7000,2.0,0.875
girasol,2017,2017/2018,Buenos Aires,Adolfo Alsina,40000,40000,88000,2.2,1.0
girasol,2017,2017/2018,Buenos Aires,Arrecifes,400,400,1120,2.8,1.0
girasol,2017,2017/2018,Buenos Aires,Bahía Blanca,700,700,560,0.8,1.0
girasol,2017,2017/2018,Buenos Aires,Azul,17115,17115,30807,1.8,1.0
girasol,2017,2017/2018,Buenos Aires,Ayacucho,18700,18700,56100,3.0,1.0
girasol,2017,2017/2018,Buenos Aires,Carlos Casares,6900,6900,19320,2.8,1.0
girasol,2017,2017/2018,Buenos Aires,Daireaux,10000,10000,20000,2.0,1.0
girasol,2017,2017/2018,Buenos Aires,Cañuelas,1000,1000,1900,1.9,1.0
girasol,2017,2017/2018,Buenos Aires,Brandsen,750,750,1425,1.9,1.0
